Absolute Difference;Difference;Movie Title;MSE without Categories;MSE with Categories;Categories;;;;;;;
10.7169;-10.7169;Thousand Clouds of Peace, A (Mil nubes de paz cercan el cielo, amor, jams acabars de ser amor) (2003);4.9127;15.6296;Drama;Romance;;;;;;
9.0923;-9.0923;Grief (1993);7.1757;16.268;Comedy;;;;;;;
8.2886;8.2886;Rogue (2007);9.1666;0.878;Action;Adventure;Horror;Thriller;;;;
6.9715;-6.9715;Relative Strangers (2006);3.0916;10.0631;Comedy;;;;;;;
6.872;6.872;Last Seduction II, The (1999);11.2189;4.3469;Crime;Drama;Thriller;;;;;
6.8632;6.8632;Hi-Line, The (1999);7.2242;0.361;Drama;;;;;;;
6.2869;6.2869;Death of a Dynasty (2003);10.1591;3.8722;Comedy;;;;;;;
6.2136;-6.2136;Lotto Land (1995);8.8655;15.0791;Drama;;;;;;;
5.9809;5.9809;First Sunday (2008);11.662;5.6811;Comedy;Crime;;;;;;
5.773;5.773;Stealing Time (a.k.a. Rennie's Landing) (2001);6.7661;0.9931;Drama;;;;;;;
5.4294;-5.4294;Law, The (a.k.a. Where the Hot Wind Blows!) (Le Legge) (1958);0.6366;6.066;Drama;;;;;;;
5.3184;5.3184;I Woke Up Early the Day I Died (1998);8.0272;2.7088;Comedy;;;;;;;
5.2969;5.2969;Running Free (1999);6.201;0.9041;Adventure;Children;Drama;;;;;
5.2541;5.2541;Rise (2007);7.9922;2.7381;Action;Horror;Thriller;;;;;
5.1814;-5.1814;Delgo (2008);4.4957;9.6771;Adventure;Animation;Comedy;Fantasy;Romance;;;
5.0095;-5.0095;Mother Lode (1982);1.2637;6.2732;Adventure;;;;;;;
4.9854;4.9854;No Looking Back (1998);8.2061;3.2207;Drama;Romance;;;;;;
4.8233;-4.8233;Illtown (1996);2.8451;7.6684;Crime;Drama;;;;;;
4.752;4.752;Men Cry Bullets (1997);7.6196;2.8676;Comedy;Drama;;;;;;
4.7144;4.7144;Take My Eyes (Te doy mis ojos) (2003);8.8532;4.1388;Drama;Romance;Thriller;;;;;
4.6998;-4.6998;Mesmerized (1986);5.809;10.5088;Drama;;;;;;;
4.6278;4.6278;Starship Troopers 3: Marauder (2008);7.3029;2.6751;Action;Sci-Fi;War;;;;;
4.5632;4.5632;Welcome Home, Roscoe Jenkins (2008);5.6359;1.0727;Comedy;;;;;;;
4.515;4.515;Kickin It Old Skool (2007);6.5131;1.9981;Comedy;;;;;;;
4.5036;-4.5036;I Don't Want to Talk About It (De eso no se habla) (1993);1.0055;5.5091;Drama;Romance;;;;;;
4.4167;-4.4167;Hunk (1987);4.4684;8.8851;Comedy;;;;;;;
4.3848;4.3848;If a Man Answers (1962);8.48;4.0952;Comedy;;;;;;;
4.3679;-4.3679;Full Speed ( toute vitesse) (1996);0.0306;4.3985;Drama;;;;;;;
4.365;-4.365;Friends and Family (2001);3.0306;7.3956;Comedy;;;;;;;
4.2724;-4.2724;Callejn de los milagros, El (1995);3.5144;7.7868;Drama;;;;;;;
4.216;-4.216;Mayerling (1968);0.8949;5.1109;Drama;Romance;;;;;;
4.193;4.193;Blackadder Back & Forth (1999);4.9082;0.7152;Comedy;;;;;;;
4.0608;4.0608;Darfur Now (2007);4.4699;0.4091;Documentary;;;;;;;
4.0242;4.0242;Daddy's Dyin'... Who's Got the Will? (1990);6.3598;2.3356;Comedy;;;;;;;
3.971;-3.971;Champagne (1928);1.8823;5.8533;Comedy;;;;;;;
3.9533;3.9533;Moonlight Murder (1936);5.2211;1.2678;Mystery;;;;;;;
3.8914;-3.8914;I'll Never Forget What's'isname (1967);0.046;3.9374;Comedy;Drama;;;;;;
3.8558;-3.8558;Hollow Man II (2006);4.8032;8.659;Action;Horror;Sci-Fi;Thriller;;;;
3.8422;-3.8422;For the Moment (1994);3.264;7.1062;Romance;War;;;;;;
3.8349;-3.8349;August (2008);0.3458;4.1807;Drama;;;;;;;
3.8348;-3.8348;Fun (1994);3.4876;7.3224;Drama;;;;;;;
3.8266;3.8266;Carriers Are Waiting, The (Les Convoyeurs Attendent) (1999);4.4542;0.6276;Comedy;Drama;;;;;;
3.7282;-3.7282;Bucktown (1975);1.4002;5.1284;Crime;Drama;;;;;;
3.6519;-3.6519;Boys Life 4: Four Play (2003);0.0023;3.6542;Comedy;Drama;;;;;;
3.6337;3.6337;Passed Away (1992);6.3028;2.6691;Comedy;;;;;;;
3.5649;-3.5649;Cop and  (1993);3.2034;6.7683;Comedy;;;;;;;
3.5386;3.5386;Horror Planet (a.k.a. Inseminoid) (1981);4.1719;0.6333;Action;Drama;Horror;Sci-Fi;;;;
3.5022;3.5022;One and Only, Genuine, Original Family Band, The (1968);4.6103;1.1081;Children;Comedy;Musical;;;;;
3.4902;3.4902;5 Fingers (1952);5.3648;1.8746;Drama;Thriller;;;;;;
3.4698;3.4698;Frogs for Snakes (1998);6.951;3.4812;Comedy;Film-Noir;Thriller;;;;;
3.4524;-3.4524;Time Walker (a.k.a. Being From Another Planet) (1982);7.4356;10.888;Horror;Sci-Fi;;;;;;
3.3756;-3.3756;Boys Don't Cry (Chlopaki nie placza) (2000);1.6076;4.9832;Comedy;;;;;;;
3.3671;-3.3671;Zoom (2006);2.6077;5.9748;Adventure;Comedy;Drama;Fantasy;;;;
